Korean,English
내가,I
난,I am
내,my
수,number
이,this
거야,going to be
좀,a little
그래,okay
왜,why
더,more
그리고,and
다,all
무슨,what
하지만,but
어떻게,how
할,will do
그냥,just
그럼,then
것,thing
게,crab
있어요,there is
있는,There is
해,sun
제가,I am
우리가,we
건,case
전,previous
그게,that is
걸,girl
거,thing
네가,you
돼,Okay
저,I
제,my
못,pond
좋아,good
당신이,you
다른,different
나,me
그런,that
그건,that
그래서,so
그렇게,like that
다시,again
이건,This is
이런,this
모든,every
당신,you
거예요,Yes
당신은,you are
아,ah
좋은,good
오,oh
때,at the time
너,you
하고,do
아냐,no
나는,I am
아니야,no
알아,know
같이,together
응,huh
이게,this
괜찮아,are you okay
오늘,today
말이야,That's what I'm saying
줄,line
또,also
널,you
누가,who
어떤,which
아주,very
말,word
진짜,really
모두,every
마,mind
같은,same
